Front,Back
🛠 How do you form futuro simple?,Infinitive + endings:<br>– yo <b>-é</b><br>– tú <b>-ás</b><br>– él/ella/usted <b>-á</b><br>– nosotros/as <b>-emos</b><br>– vosotros/as <b>-éis</b><br>– ellos/ellas/ustedes <b>-án</b><br>Example: hablar → hablaré
🛠 How do you form ir + a + infinitivo?,Present of ir + a + verb<br>Example: voy a comer (I’m going to eat)
❓ When do you use futuro simple?,👉 To talk about what will happen in the future<br>👉 For formal predictions<br>👉 For assumptions about the present<br>Example: Llegarán mañana. (They will arrive tomorrow.)
❓ When do you use ir + a + infinitivo?,"👉 To talk about plans, intentions, decisions already made<br>👉 Often for the near future<br>Example: Voy a estudiar esta noche. (I’m going to study tonight.)"
💡 Memory hook: How to remember the difference?,"Futuro simple = formal, distant 🌌<br>Ir + a = near, planned 🚶"
✏️ Translate: I will travel to Spain.,Viajaré a España.
✏️ Translate: I’m going to travel to Spain.,Voy a viajar a España.
Fill in the blank: Ellos ______ (llegar) mañana. (futuro simple),llegarán
Fill in the blank: Yo ______ (ir) a estudiar esta noche.,voy a estudiar
Question: Which is more common in spoken Spanish for the near future?,Ir + a + infinitivo
Question: What endings do you add for futuro simple (yo form)?,-é
Translate: She will call you tomorrow.,Ella te llamará mañana.
Translate: We will visit the museum next week.,Visitaremos el museo la próxima semana.
Fill in the blank: Yo ______ (terminar) el proyecto esta noche.,terminaré
Fill in the blank: Ellos ______ (venir) a la fiesta.,vendrán
Translate: I’m going to read this book tonight.,Voy a leer este libro esta noche.
Translate: They are going to move next year.,Van a mudarse el próximo año.
Fill in the blank: Tú ______ (ir) a limpiar tu habitación.,vas a limpiar
Fill in the blank: Nosotros ______ (ir) a preparar la cena.,vamos a preparar
Choose the best form: (prediction about the weather) Mañana ______ (llover).,lloverá
Choose the best form: (planned action) Esta noche ______ (ir) a ver una película.,voy a ver
Translate: She will call you tomorrow. → Ella te {{c1::llamará}} mañana.,Ella te llamará mañana.
Translate: We will visit the museum next week. → {{c1::Visitaremos}} el museo la próxima semana.,Visitaremos el museo la próxima semana.
Fill in the blank: Yo {{c1::terminaré}} el proyecto esta noche.,Yo terminaré el proyecto esta noche.
Fill in the blank: Ellos {{c1::vendrán}} a la fiesta.,Ellos vendrán a la fiesta.
Translate: I’m going to read this book tonight. → {{c1::Voy a leer}} este libro esta noche.,Voy a leer este libro esta noche.
Translate: They are going to move next year. → {{c1::Van a mudarse}} el próximo año.,Van a mudarse el próximo año.
Fill in the blank: Tú {{c1::vas a limpiar}} tu habitación.,Tú vas a limpiar tu habitación.
Fill in the blank: Nosotros {{c1::vamos a preparar}} la cena.,Nosotros vamos a preparar la cena.
Choose the best form: (prediction about the weather) Mañana {{c1::lloverá}}.,Mañana lloverá.
Choose the best form: (planned action) Esta noche {{c1::voy a ver}} una película.,Esta noche voy a ver una película.
