Front,Back
I ate (Yo),Comí
You ate (Tú),Comiste
He ate (Él),Comió
She ate (Ella),Comió
We ate (Nosotros),Comimos
You all ate (Vosotros),Comisteis
They ate (Ellos),Comieron
I spoke (Yo),Hablé
You spoke (Tú),Hablaste
He spoke (Él),Habló
She spoke (Ella),Habló
We spoke (Nosotros),Hablamos
You all spoke (Vosotros),Hablasteis
They spoke (Ellos),Hablaron
I lived (Yo),Viví
You lived (Tú),Viviste
He lived (Él),Vivió
She lived (Ella),Vivió
We lived (Nosotros),Vivimos
You all lived (Vosotros),Vivisteis
They lived (Ellos),Vivieron
