Front,Back
I had (Yo),Tuve
You had (Tú),Tuviste
He had (Él),Tuvo
She had (Ella),Tuvo
We had (Nosotros),Tuvimos
You all had (Vosotros),Tuvisteis
They had (Ellos),Tuvieron
I went (Yo),Fui
You went (Tú),Fuiste
He went (Él),Fue
She went (Ella),Fue
We went (Nosotros),Fuimos
You all went (Vosotros),Fuisteis
They went (Ellos),Fueron
I was (ser) (Yo),Fui
You were (ser) (Tú),Fuiste
He was (ser) (Él),Fue
She was (ser) (Ella),Fue
We were (ser) (Nosotros),Fuimos
You all were (ser) (Vosotros),Fuisteis
They were (ser) (Ellos),Fueron
I was (estar) (Yo),Estuve
You were (estar) (Tú),Estuviste
He was (estar) (Él),Estuvo
She was (estar) (Ella),Estuvo
We were (estar) (Nosotros),Estuvimos
You all were (estar) (Vosotros),Estuvisteis
They were (estar) (Ellos),Estuvieron
I did (Yo),Hice
You did (Tú),Hiciste
He did (Él),Hizo
She did (Ella),Hizo
We did (Nosotros),Hicimos
You all did (Vosotros),Hicisteis
They did (Ellos),Hicieron
I said (Yo),Dije
You said (Tú),Dijiste
He said (Él),Dijo
She said (Ella),Dijo
We said (Nosotros),Dijimos
You all said (Vosotros),Dijisteis
They said (Ellos),Dijeron
