Front,Back
⏳ What does pretérito pluscuamperfecto express?,It tells what had already happened before something else in the past.<br>💡 Imagine a 🕰 clock with two past moments: one happened earlier!
🛠 How do you form pluscuamperfecto?,Formula:<br><b>había / habías / había / habíamos / habíais / habían</b> + past participle<br>💡 Think: <b>had + done</b>
"🎬 Example: What tense is this? — “Cuando llegué, la película había terminado.”",Pretérito pluscuamperfecto → the movie had finished before I arrived
"🤔 Which happened first? — “Cuando llegué, ellos habían salido.”",👉 They had left first → I arrived after
🆚 How is pluscuamperfecto different from pretérito perfecto?,Pluscuamperfecto = had done (before another past action)<br>Pretérito perfecto = have done (still relevant now)
✏️ Translate: “They had already eaten when we arrived.”,Ellos ya <b>habían comido</b> cuando llegamos.
🧠 Memory trick: How can you picture pluscuamperfecto?,💡 Picture two past moments: one in the deeper past → like a 📼 flashback before the main story!
"Fill in the blank: Cuando llegué, ellos ya ______ (salir).",habían salido
Fill in the blank: No ______ (preparar) nada y por eso no hubo sorpresa.,había preparado
Translate: I had studied Spanish before I traveled to Mexico.,Yo había estudiado español antes de viajar a México.
🛠 Detailed formation of pretérito pluscuamperfecto,"👉 Formula: <b>imperfect of haber + past participle</b><br><br>📝 Imperfect forms of haber:<br>– yo <b>había</b><br>– tú <b>habías</b><br>– él/ella/usted <b>había</b><br>– nosotros/as <b>habíamos</b><br>– vosotros/as <b>habíais</b><br>– ellos/ellas/ustedes <b>habían</b><br><br>💡 Past participle: stem + -ado (for -ar verbs) / -ido (for -er, -ir verbs)<br>Examples:<br>– hablar → hablado<br>– comer → comido<br>– vivir → vivido"
"Fill in the blank: Cuando llegué, tú ya ______ (salir).",habías salido
Fill in the blank: Nosotros ya ______ (cenar) antes de la película.,habíamos cenado
Fill in the blank: Ella no ______ (ver) la noticia cuando lo llamé.,había visto
"Fill in the blank: Cuando llegó el tren, ya ______ (salir) el autobús.",había salido
Translate: They had lived in Madrid before moving to Barcelona.,Ellos habían vivido en Madrid antes de mudarse a Barcelona.
Translate: I had finished the homework before dinner.,Yo había terminado la tarea antes de la cena.
Translate: You had visited Paris before 2010.,Tú habías visitado París antes de 2010.
Question: What part of the verb changes to match the subject in pluscuamperfecto?,"The form of <b>haber</b> (había, habías, etc.)<br>The past participle stays the same."
Question: Does the past participle change for subject gender or number?,❌ No! The past participle is invariable in pluscuamperfecto.
"Cuando llegué, la película {{c1::había terminado}}.","Cuando llegué, la película había terminado."
Nosotros ya {{c1::habíamos cenado}} antes de la película.,Nosotros ya habíamos cenado antes de la película.
Ella no {{c1::había visto}} la noticia cuando lo llamé.,Ella no había visto la noticia cuando lo llamé.
"Cuando llegó el tren, ya {{c1::había salido}} el autobús.","Cuando llegó el tren, ya había salido el autobús."
Ellos ya {{c1::habían vivido}} en Madrid antes de mudarse a Barcelona.,Ellos ya habían vivido en Madrid antes de mudarse a Barcelona.
Yo {{c1::había terminado}} la tarea antes de la cena.,Yo había terminado la tarea antes de la cena.
Tú {{c1::habías visitado}} París antes de 2010.,Tú habías visitado París antes de 2010.
{{c1::había}} / {{c1::habías}} / {{c1::habíamos}} / {{c1::habíais}} / {{c1::habían}} are forms of which verb?,haber
Formula: {{c1::imperfect of haber + past participle}},imperfect of haber + past participle
