Front,Back
🌳 How do you say where someone is from?,Use <b>ser + de + place</b> (think of tree roots / origin)<br>Examples:<br>– ¿De dónde eres? (Where are you from?)<br>– Soy de Sevilla. (I'm from Seville.)<br>– Soy de España. (I'm from Spain.)
📍 How do you say where someone or something is right now?,Use <b>estar + en + place</b> (think of your GPS dot / current location)<br>Examples:<br>– ¿Dónde estás? (Where are you?)<br>– Estoy en Chile. (I'm in Chile.)
🗺 How do you say where a place is?,Use <b>estar + en + place</b> (location on the map)<br>Examples:<br>– El Paso está en el sur de Estados Unidos. (El Paso is in the south of the U.S.)<br>– Ciudad Juárez está en el norte de México. (Ciudad Juárez is in the north of Mexico.)
↔️ How to describe distance between places?,Use <b>estar + cerca de / lejos de</b> (close to / far from)<br>Examples:<br>– El Paso está cerca de Ciudad Juárez. (El Paso is close to Ciudad Juárez.)<br>– Colombia está lejos de España. (Colombia is far from Spain.)
👀 How to say what exists in a place?,Use <b>hay + noun</b> (there is / there are)<br>Examples:<br>– En Barranquilla hay un río. (There is a river in Barranquilla.)<br>– En Cancún hay muchas playas bonitas. (There are many beautiful beaches in Cancun.)
❓ How do you ask where something is?,Use <b>¿Dónde está + singular noun?</b><br>Use <b>¿Dónde están + plural noun?</b><br>Examples:<br>– ¿Dónde está el mercado? (Where is the market?)<br>– ¿Dónde están los monumentos? (Where are the monuments?)
📌 How to describe position relative to another place?,"Use <b>delante de</b>, <b>detrás de</b>, <b>al lado de</b>, <b>entre</b><br>Examples:<br>– La casa está delante del hospital. (The house is in front of the hospital.)<br>– La iglesia está detrás del parque. (The church is behind the park.)<br>– El parque está al lado del mercado. (The park is next to the market.)<br>– El mercado está entre el colegio y la farmacia. (The market is between the school and the pharmacy.)"
¿De dónde eres?,Where are you from?
Soy de Sevilla.,I'm from Seville.
Soy de España.,I'm from Spain.
¿Dónde estás?,Where are you?
Estoy en Chile.,I'm in Chile.
El Paso está en el sur de Estados Unidos.,El Paso is in the south of the United States.
Ciudad Juárez está en el norte de México.,Ciudad Juarez is in the north of Mexico.
El Paso está cerca de Ciudad Juárez.,El Paso is close to Ciudad Juarez.
Colombia está lejos de España.,Colombia is far from Spain.
Huelva está en el sur de España.,Huelva is in the south of Spain.
En Barranquilla hay un río.,There is a river in Barranquilla.
En Cancún hay muchas playas bonitas.,There are many beautiful beaches in Cancun.
¿Dónde está el mercado?,Where is the market?
¿Dónde están los monumentos?,Where are the monuments?
La casa está delante del hospital.,The house is in front of the hospital.
La iglesia está detrás del parque.,The church is behind the park.
El parque está al lado del mercado.,The park is next to the market.
El mercado está entre el colegio y la farmacia.,The market is between the school and the pharmacy.
