Front,Back
Translate: She will call you tomorrow. → Ella te {{c1::llamará}} mañana.,Ella te llamará mañana.
Translate: We will visit the museum next week. → {{c1::Visitaremos}} el museo la próxima semana.,Visitaremos el museo la próxima semana.
Fill in the blank: Yo {{c1::terminaré}} el proyecto esta noche.,Yo terminaré el proyecto esta noche.
Fill in the blank: Ellos {{c1::vendrán}} a la fiesta.,Ellos vendrán a la fiesta.
Translate: I’m going to read this book tonight. → {{c1::Voy a leer}} este libro esta noche.,Voy a leer este libro esta noche.
Translate: They are going to move next year. → {{c1::Van a mudarse}} el próximo año.,Van a mudarse el próximo año.
Fill in the blank: Tú {{c1::vas a limpiar}} tu habitación.,Tú vas a limpiar tu habitación.
Fill in the blank: Nosotros {{c1::vamos a preparar}} la cena.,Nosotros vamos a preparar la cena.
Choose the best form: (prediction about the weather) Mañana {{c1::lloverá}}.,Mañana lloverá.
Choose the best form: (planned action) Esta noche {{c1::voy a ver}} una película.,Esta noche voy a ver una película.
