Text,Translation,Explanation
Ella {{c1::entiende}} la lección. (verbo: entender),She understands the lesson.,"'Entender' is an e → ie verb: entiendo, entiendes, entiende, entendemos, entendéis, entienden."
Nosotros {{c1::preferimos}} té. (verbo: preferir),We prefer tea.,"'Preferir' stem-changes except in nosotros/vosotros: prefiero, prefieres, prefiere, preferimos..."
Él {{c1::pide}} ayuda. (verbo: pedir),He asks for help.,"'Pedir' is an e → i verb: pido, pides, pide, pedimos, pedís, piden."
Nosotros {{c1::servimos}} la comida. (verbo: servir),We serve the food.,"'Servir' stem-changes in all but nosotros/vosotros: sirvo, sirves, sirve, servimos..."
Ella {{c1::duerme}} ocho horas. (verbo: dormir),She sleeps eight hours.,"'Dormir' is an o → ue verb: duermo, duermes, duerme, dormimos, dormís, duermen."
Nosotros {{c1::podemos}} ayudarte. (verbo: poder),We can help you.,"'Poder' stem-changes except in nosotros/vosotros: puedo, puedes, puede, podemos..."
Ustedes {{c1::juegan}} al fútbol. (verbo: jugar),You all play soccer.,"'Jugar' is a u → ue verb: juego, juegas, juega, jugamos, jugáis, juegan."
Yo {{c1::cierro}} la puerta. (verbo: cerrar),I close the door.,"'Cerrar' is e → ie: cierro, cierras, cierra, cerramos, cerráis, cierran."
Ella {{c1::empieza}} a estudiar. (verbo: empezar),She begins to study.,"'Empezar' is e → ie: empiezo, empiezas, empieza..."
Nosotros {{c1::pensamos}} igual. (verbo: pensar),We think the same.,"'Pensar' is e → ie, but regular in nosotros/vosotros."
Tú {{c1::repites}} la pregunta. (verbo: repetir),You repeat the question.,"'Repetir' is e → i: repito, repites, repite, repetimos..."
Ellos {{c1::compiten}} en el torneo. (verbo: competir),They compete in the tournament.,"'Competir' is e → i: compito, compites, compite..."
Yo {{c1::vuelvo}} a casa temprano. (verbo: volver),I return home early.,"'Volver' is o → ue: vuelvo, vuelves, vuelve, volvemos..."
El libro {{c1::cuesta}} veinte euros. (verbo: costar),The book costs twenty euros.,"'Costar' is o → ue: cuesta, cuestan (only 3rd person)."
Nosotros {{c1::encontramos}} la llave. (verbo: encontrar),We find the key.,"'Encontrar' is o → ue: encuentro, encuentras, encuentra, encontramos..."
Tú {{c1::vienes}} a clase. (verbo: venir),You come to class.,"'Venir' is irregular and e → ie: vengo, vienes, viene..."
Yo {{c1::digo}} la verdad. (verbo: decir),I say the truth.,"'Decir' is irregular and e → i: digo, dices, dice..."
