Spanish,English
jersey,sweater
zapatos,shoes
el gorro,beanie
la gorra,cap
las botas,boots
las gafas de sol,sunglasses
los calcetines,socks
los guantes,gloves
los pantalones cortos,shorts
despierto,I wake up
diente,tooth
lavo,I wash
peino,I comb
escucho,I listen
acuesto,I go to bed
el papel,paper
divertirse,to have fun
me pongo,I put on (clothes)
nieve,snow
¿En qué les puedo ayudar?,How can I help you?
poder,to be able to
cuarto,room
del pasillo,hallway
¿Cuánto toma llegar de aquí a...?,How long does it take to get from here to...?
rentamos un carro,we rent a car
haya,traffic
chequeamos,see you later
Quisiera hacer una reservación,I'd like to make a reservation
para,for
"una/doble habitación individual, por favor","a single/double room, please"
aceptamos tarjetas de crédito,we accept credit cards
ascensor,elevator
abajo,downstairs
arriba,upstairs
barato,cheap
caro,expensive
bajar,to go down
cama,bed
cobrar,to charge
lavabo,sink
llave,key
piso,floor/apartment
la cara,face
el cuello,neck
la oficina de correos,post office
el banco,bank
el supermercado,supermarket
el café,café
la iglesia,church
el centro,center/downtown
la plaza,plaza
la piscina,swimming pool
el museo,museum
el parque,park
el mercado al aire libre,open-air market
el cine,cinema
la tienda,store
el restaurante,restaurant
el centro comercial,shopping mall
bastante,enough
