Verb,Spanish Example,English Translation,Explanation
ser,Es amable.,He/She is kind.,Use 'ser' for personality traits.
ser,Es mexicano.,He is Mexican.,Use 'ser' for nationality.
ser,Es de oro.,It is made of gold.,Use 'ser' for material.
ser,Es una naranja.,It is an orange.,Use 'ser' for identification.
ser,Es profesor.,He is a teacher.,Use 'ser' for profession.
estar,Está alegre.,He/She is happy.,Use 'estar' for temporary emotional states.
estar,Está enfermo.,He is sick.,Use 'estar' for physical conditions.
estar,Está en Madrid.,He is in Madrid.,Use 'estar' for location.
estar,Está de profesor.,He is working as a teacher.,Use 'estar de' for temporary roles.
estar,Está en la calle.,He is on the street.,Use 'estar' to describe position or place.
hay,Hay un perro en el jardín.,There is a dog in the garden.,Use 'hay' to say something exists.
hay,Hay muchos árboles.,There are many trees.,Use 'hay' with indefinite quantities.
hay,No hay tiempo para eso.,There is no time for that.,Use 'no hay' to express lack of something.
hay,Hay poca leche.,There is little milk.,Use 'hay' with uncountable nouns.
hay,Hay mucha gente.,There are many people.,Use 'hay' with collective nouns.
tener,Tengo un perro.,I have a dog.,Use 'tener' to express possession.
tener,Tengo hambre.,I am hungry.,Use 'tener' for physical needs.
tener,Tengo poco tiempo.,I have little time.,Use 'tener' to express time availability.
tener,Tengo muchos amigos.,I have many friends.,Use 'tener' for relationships.
tener,Tengo sed.,I am thirsty.,Use 'tener' with basic human needs.
