Person,Verb,Conjugation,Spanish Example,English Translation
yo,trabajar,trabajaba,"Cuando era joven, yo trabajaba mucho.","When I was young, I used to work a lot."
tú,trabajar,trabajabas,"Tú trabajabas en una tienda, ¿verdad?","You used to work in a shop, right?"
él/ella/usted,trabajar,trabajaba,Ella trabajaba los fines de semana.,She used to work on weekends.
nosotros/as,trabajar,trabajábamos,Nosotros trabajábamos juntos en el proyecto.,We used to work together on the project.
vosotros/as,trabajar,trabajabais,Vosotros trabajabais en el jardín cada día.,You all (Spain) used to work in the garden every day.
ellos/ellas/ustedes,trabajar,trabajaban,Ellos trabajaban en una oficina.,They used to work in an office.
yo,comer,comía,"De niño, comía muchos dulces.","As a child, I used to eat a lot of candy."
tú,comer,comías,¿Tú comías en casa o en la escuela?,Did you eat at home or at school?
él/ella/usted,comer,comía,Mi abuela comía temprano.,My grandmother used to eat early.
nosotros/as,comer,comíamos,Siempre comíamos juntos los domingos.,We always used to eat together on Sundays.
vosotros/as,comer,comíais,Vosotros comíais muy tarde.,You all (Spain) used to eat very late.
ellos/ellas/ustedes,comer,comían,Los niños comían mientras veían televisión.,The kids were eating while watching TV.
yo,vivir,vivía,Vivía en Madrid cuando era pequeño.,I lived in Madrid when I was little.
tú,vivir,vivías,¿Dónde vivías tú antes?,Where did you live before?
él/ella/usted,vivir,vivía,Mi padre vivía en un pueblo.,My father used to live in a village.
nosotros/as,vivir,vivíamos,Vivíamos cerca del parque.,We used to live near the park.
vosotros/as,vivir,vivíais,"Vosotros vivíais en España, ¿no?","You all (Spain) used to live in Spain, right?"
ellos/ellas/ustedes,vivir,vivían,Ellos vivían felices.,They lived happily.
