Front,Back
I’m going to eat (Yo),Voy a comer
You’re going to study (Tú),Vas a estudiar
He’s going to work (Él),Va a trabajar
She’s going to run (Ella),Va a correr
You (formal) are going to call (Usted),Va a llamar
We’re going to read (Nosotros),Vamos a leer
We (fem.) are going to write (Nosotras),Vamos a escribir
You all are going to sing (Vosotros),Vais a cantar
They’re going to travel (Ellos),Van a viajar
They (fem.) are going to cook (Ellas),Van a cocinar
I’m going to play (Yo),Voy a jugar
You’re going to swim (Tú),Vas a nadar
He’s going to sleep (Él),Va a dormir
She’s going to dance (Ella),Va a bailar
We’re going to visit (Nosotros),Vamos a visitar
You all are going to clean (Ustedes),Van a limpiar
They’re going to drive (Ellos),Van a conducir
I’m going to see (Yo),Voy a ver
You’re going to learn (Tú),Vas a aprender
She’s going to buy (Ella),Va a comprar
I’m going to drink water (Yo),Voy a beber agua
You’re going to open the door (Tú),Vas a abrir la puerta
He’s going to buy a car (Él),Va a comprar un coche
She’s going to paint the house (Ella),Va a pintar la casa
We’re going to clean the kitchen (Nosotros),Vamos a limpiar la cocina
We (fem.) are going to wash the clothes (Nosotras),Vamos a lavar la ropa
You all are going to visit your grandparents (Vosotros),Vais a visitar a vuestros abuelos
You all are going to watch a movie (Ustedes),Van a ver una película
They’re going to play soccer (Ellos),Van a jugar al fútbol
They (fem.) are going to bake a cake (Ellas),Van a hornear un pastel
I’m going to listen to music (Yo),Voy a escuchar música
You’re going to call your friend (Tú),Vas a llamar a tu amigo
He’s going to take a shower (Él),Va a ducharse
She’s going to go shopping (Ella),Va a ir de compras
We’re going to study Spanish (Nosotros),Vamos a estudiar español
We (fem.) are going to dance tonight (Nosotras),Vamos a bailar esta noche
You all are going to prepare dinner (Vosotros),Vais a preparar la cena
You all are going to learn English (Ustedes),Van a aprender inglés
They’re going to rest (Ellos),Van a descansar
They (fem.) are going to cook dinner (Ellas),Van a cocinar la cena
