Front,Back
Translate: She will call you tomorrow.,Ella te llamará mañana.
Translate: We will visit the museum next week.,Visitaremos el museo la próxima semana.
Fill in the blank: Yo ______ (terminar) el proyecto esta noche.,terminaré
Fill in the blank: Ellos ______ (venir) a la fiesta.,vendrán
Translate: I’m going to read this book tonight.,Voy a leer este libro esta noche.
Translate: They are going to move next year.,Van a mudarse el próximo año.
Fill in the blank: Tú ______ (ir) a limpiar tu habitación.,vas a limpiar
Fill in the blank: Nosotros ______ (ir) a preparar la cena.,vamos a preparar
Choose the best form: (prediction about the weather) Mañana ______ (llover).,lloverá
Choose the best form: (planned action) Esta noche ______ (ir) a ver una película.,voy a ver
