Text,Translation,Explanation
Ella {{c1::es}} doctora.,She is a doctor.,'Ser' is used for professions and permanent roles.
El cielo {{c1::está}} nublado.,The sky is cloudy.,'Estar' is used for temporary states or conditions.
Nosotros {{c1::tenemos}} un perro.,We have a dog.,'Tener' is used to express possession.
Tú {{c1::eres}} muy simpático.,You are very nice.,'Ser' is used for personality traits (permanent characteristics).
¿Dónde {{c1::estás}} ahora?,Where are you now?,'Estar' is used for location.
Yo {{c1::tengo}} hambre.,I am hungry.,'Tener' is used for physical states like hunger or thirst.
Madrid {{c1::es}} la capital de España.,Madrid is the capital of Spain.,'Ser' is used for facts and definitions.
Mi hermano {{c1::está}} enfermo.,My brother is sick.,'Estar' is used for health states.
Ellos {{c1::tienen}} muchos amigos.,They have many friends.,'Tener' is used for possessions or relationships.
Hoy {{c1::es}} lunes.,Today is Monday.,'Ser' is used for dates and time.
Yo {{c1::soy}} estudiante.,I am a student.,'Ser' with 'yo' is 'soy'.
Tú {{c1::estás}} cansado.,You are tired.,'Estar' with 'tú' is 'estás'.
Él {{c1::es}} inteligente.,He is intelligent.,'Ser' with 'él' is 'es'.
Ella {{c1::tiene}} una bicicleta.,She has a bicycle.,'Tener' with 'ella' is 'tiene'.
Nosotros {{c1::somos}} amigos.,We are friends.,'Ser' with 'nosotros' is 'somos'.
Vosotros {{c1::sois}} muy altos.,You all are very tall.,'Ser' with 'vosotros' is 'sois'. (Used in Spain)
Ellos {{c1::están}} en casa.,They are at home.,'Estar' with 'ellos' is 'están'.
Ustedes {{c1::tienen}} razón.,You all are right.,'Tener' with 'ustedes' is 'tienen'.
Nosotras {{c1::tenemos}} clase ahora.,We (feminine) have class now.,'Tener' with 'nosotras' is 'tenemos'.
Tú {{c1::tienes}} un gato.,You have a cat.,'Tener' with 'tú' is 'tienes'.
Yo {{c1::tengo que}} estudiar para el examen.,I have to study for the exam.,'Tener que' is used to express obligation (I have to...).
Ella {{c1::está de acuerdo}} contigo.,She agrees with you.,'Estar de acuerdo' means to agree with someone.
Él {{c1::es capaz de}} resolver el problema.,He is capable of solving the problem.,'Ser capaz de' means to be capable of something.
Nosotros {{c1::tenemos ganas de}} viajar.,We feel like traveling.,'Tener ganas de' expresses desire to do something.
Tú {{c1::estás a punto de}} llegar.,You are about to arrive.,'Estar a punto de' means to be about to do something.
Ustedes {{c1::tienen prisa}}.,You all are in a hurry.,'Tener prisa' means to be in a hurry.
Yo {{c1::estoy de buen humor}} hoy.,I am in a good mood today.,'Estar de buen humor' means to be in a good mood.
Él {{c1::tiene miedo}} de los perros.,He is afraid of dogs.,'Tener miedo' means to be afraid.
Ella {{c1::está en forma}}.,She is in shape.,'Estar en forma' means to be fit or in shape.
Nosotros {{c1::tenemos sueño}}.,We are sleepy.,'Tener sueño' means to be sleepy.
